Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_H2_z1,Demand_H2_z2,Demand_H2_z3,Demand_Zero
348,187583,133957,52929,31937.18,30440.74,15988.28,0
349,196819,138192,53775,31937.18,30440.74,15988.28,0
350,203129,141271,54513,31937.18,30440.74,15988.28,0
351,206139,143393,54764,31937.18,30440.74,15988.28,0
352,205681,145000,54883,31937.18,30440.74,15988.28,0
353,203184,144706,54538,31937.18,30440.74,15988.28,0
354,198563,141642,53168,31937.18,30440.74,15988.28,0
355,192711,136252,51123,31937.18,30440.74,15988.28,0
356,187898,132199,49783,31937.18,30440.74,15988.28,0
357,182639,127881,48674,31937.18,30440.74,15988.28,0
358,174490,117868,45520,31937.18,30440.74,15988.28,0
359,161633,106776,41117,31937.18,30440.74,15988.28,0
360,148053,97602,37192,31937.18,30440.74,15988.28,0
361,137213,90943,34345,31937.18,30440.74,15988.28,0
362,129582,86621,32448,31937.18,30440.74,15988.28,0
363,124615,84017,31296,31937.18,30440.74,15988.28,0
364,122262,83932,30891,31937.18,30440.74,15988.28,0
365,123442,87135,31486,31937.18,30440.74,15988.28,0
366,128753,92490,33370,31937.18,30440.74,15988.28,0
367,136490,98713,36648,31937.18,30440.74,15988.28,0
368,143471,105167,40240,31937.18,30440.74,15988.28,0
369,151886,111653,43038,31937.18,30440.74,15988.28,0
370,161907,119090,45402,31937.18,30440.74,15988.28,0
371,173235,125494,47435,31937.18,30440.74,15988.28,0
372,184037,131400,48871,31937.18,30440.74,15988.28,0
373,192611,136459,50060,31937.18,30440.74,15988.28,0
374,199788,140857,51179,31937.18,30440.74,15988.28,0
375,204209,143795,51827,31937.18,30440.74,15988.28,0
376,206000,146040,52282,31937.18,30440.74,15988.28,0
377,204556,146373,52253,31937.18,30440.74,15988.28,0
378,200709,144043,51411,31937.18,30440.74,15988.28,0
379,195402,139377,49932,31937.18,30440.74,15988.28,0
380,190888,136150,49136,31937.18,30440.74,15988.28,0
381,185973,132656,48578,31937.18,30440.74,15988.28,0
382,177678,122795,45872,31937.18,30440.74,15988.28,0
383,164181,112099,41838,31937.18,30440.74,15988.28,0
384,150127,102651,38071,31937.18,30440.74,15988.28,0
385,138953,95885,35269,31937.18,30440.74,15988.28,0
386,130603,91244,33252,31937.18,30440.74,15988.28,0
387,125732,88523,32129,31937.18,30440.74,15988.28,0
388,122914,88379,31778,31937.18,30440.74,15988.28,0
389,123989,91535,32578,31937.18,30440.74,15988.28,0
390,129386,97149,34623,31937.18,30440.74,15988.28,0
391,136643,103230,38038,31937.18,30440.74,15988.28,0
392,143554,110769,42079,31937.18,30440.74,15988.28,0
393,152704,118461,45539,31937.18,30440.74,15988.28,0
394,164790,126431,48324,31937.18,30440.74,15988.28,0
395,177718,133336,50794,31937.18,30440.74,15988.28,0
396,190514,138866,52704,31937.18,30440.74,15988.28,0
397,201140,143795,54140,31937.18,30440.74,15988.28,0
398,208970,147049,55509,31937.18,30440.74,15988.28,0
399,212991,148425,56137,31937.18,30440.74,15988.28,0
400,215070,148637,56415,31937.18,30440.74,15988.28,0
401,215412,147214,56289,31937.18,30440.74,15988.28,0
402,212904,143932,55471,31937.18,30440.74,15988.28,0
403,206248,139324,54155,31937.18,30440.74,15988.28,0
404,198555,136371,53115,31937.18,30440.74,15988.28,0
405,191703,132021,52137,31937.18,30440.74,15988.28,0
406,182033,122371,49176,31937.18,30440.74,15988.28,0
407,167150,111789,44919,31937.18,30440.74,15988.28,0
408,153437,102902,40865,31937.18,30440.74,15988.28,0
409,141122,96135,37924,31937.18,30440.74,15988.28,0
410,132574,91597,36073,31937.18,30440.74,15988.28,0
411,127022,89089,34893,31937.18,30440.74,15988.28,0
412,123849,88779,34459,31937.18,30440.74,15988.28,0
413,124222,92068,35182,31937.18,30440.74,15988.28,0
414,129601,98008,37293,31937.18,30440.74,15988.28,0
415,137016,104331,40759,31937.18,30440.74,15988.28,0
416,144718,111421,44705,31937.18,30440.74,15988.28,0
417,154075,118795,48235,31937.18,30440.74,15988.28,0
418,165930,126304,51291,31937.18,30440.74,15988.28,0
419,178824,132697,53885,31937.18,30440.74,15988.28,0
420,189881,137708,55821,31937.18,30440.74,15988.28,0
421,197414,141946,57360,31937.18,30440.74,15988.28,0
422,202788,144389,58399,31937.18,30440.74,15988.28,0
423,206900,145492,58676,31937.18,30440.74,15988.28,0
424,207373,144787,58352,31937.18,30440.74,15988.28,0
425,204434,142069,57627,31937.18,30440.74,15988.28,0
426,200612,137320,56303,31937.18,30440.74,15988.28,0
427,194702,132060,54738,31937.18,30440.74,15988.28,0
428,188511,129945,53663,31937.18,30440.74,15988.28,0
429,182979,125512,52542,31937.18,30440.74,15988.28,0
430,174475,116552,49528,31937.18,30440.74,15988.28,0
431,160759,106954,45390,31937.18,30440.74,15988.28,0
432,147208,98528,41532,31937.18,30440.74,15988.28,0
433,136333,92957,38962,31937.18,30440.74,15988.28,0
434,128557,89474,37232,31937.18,30440.74,15988.28,0
435,124079,87382,36133,31937.18,30440.74,15988.28,0
436,121574,87850,35771,31937.18,30440.74,15988.28,0
437,122523,91339,36611,31937.18,30440.74,15988.28,0
438,127792,97766,38819,31937.18,30440.74,15988.28,0
439,135244,103000,42217,31937.18,30440.74,15988.28,0
440,142079,107743,45844,31937.18,30440.74,15988.28,0
441,150551,112079,48815,31937.18,30440.74,15988.28,0
442,159773,115735,50917,31937.18,30440.74,15988.28,0
443,168440,118049,52367,31937.18,30440.74,15988.28,0
444,175922,119974,52828,31937.18,30440.74,15988.28,0
445,182965,122377,52546,31937.18,30440.74,15988.28,0
446,187831,124625,52351,31937.18,30440.74,15988.28,0
447,190228,126163,52082,31937.18,30440.74,15988.28,0
448,191017,126815,51732,31937.18,30440.74,15988.28,0
449,190986,125825,51461,31937.18,30440.74,15988.28,0
450,187034,122664,50546,31937.18,30440.74,15988.28,0
451,180861,118362,49512,31937.18,30440.74,15988.28,0
452,175169,116410,48754,31937.18,30440.74,15988.28,0
453,170691,113787,47920,31937.18,30440.74,15988.28,0
454,163931,106982,45725,31937.18,30440.74,15988.28,0
455,152724,98874,42476,31937.18,30440.74,15988.28,0
456,140749,91348,39209,31937.18,30440.74,15988.28,0
457,130760,85730,36623,31937.18,30440.74,15988.28,0
458,123226,82186,34868,31937.18,30440.74,15988.28,0
459,117860,79702,33769,31937.18,30440.74,15988.28,0
460,114737,78526,33132,31937.18,30440.74,15988.28,0
461,113289,79233,33098,31937.18,30440.74,15988.28,0
462,114116,80620,33526,31937.18,30440.74,15988.28,0
463,116396,83579,35107,31937.18,30440.74,15988.28,0
464,121323,89679,38199,31937.18,30440.74,15988.28,0
465,132051,96025,41652,31937.18,30440.74,15988.28,0
466,143742,102126,44339,31937.18,30440.74,15988.28,0
467,154421,106595,46436,31937.18,30440.74,15988.28,0
468,163145,109734,47864,31937.18,30440.74,15988.28,0
469,170484,111343,48704,31937.18,30440.74,15988.28,0
470,175177,112475,49184,31937.18,30440.74,15988.28,0
471,178288,113240,49406,31937.18,30440.74,15988.28,0
472,179262,113678,49645,31937.18,30440.74,15988.28,0
473,178883,113084,49691,31937.18,30440.74,15988.28,0
474,176597,111175,49310,31937.18,30440.74,15988.28,0
475,172322,108454,48431,31937.18,30440.74,15988.28,0
476,167135,107317,47690,31937.18,30440.74,15988.28,0
477,161753,105217,46968,31937.18,30440.74,15988.28,0
478,154946,99358,44911,31937.18,30440.74,15988.28,0
479,143996,92386,41988,31937.18,30440.74,15988.28,0
480,132793,85783,38902,31937.18,30440.74,15988.28,0
481,122749,80746,36442,31937.18,30440.74,15988.28,0
482,115210,77302,34666,31937.18,30440.74,15988.28,0
483,110241,75162,33458,31937.18,30440.74,15988.28,0
484,106898,73769,32765,31937.18,30440.74,15988.28,0
485,105622,73621,32533,31937.18,30440.74,15988.28,0
486,105468,73623,32487,31937.18,30440.74,15988.28,0
